Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-11-19,15.939460337733257,16.078756956636546,15.83333034246928,16.012426376342773,37695151,0.0,0.0
2012-11-20,15.999155674380331,16.10528564453125,15.873126001453086,16.10528564453125,28652674,0.0,0.0
2012-11-21,16.164979326163667,16.171612113698398,16.052215270614912,16.15171241760254,29470789,0.0,0.0
2012-11-23,16.191514975561923,16.2711124420166,16.164982486743696,16.2711124420166,26588415,0.0,0.0
2012-11-26,16.145080256985786,16.26447710470548,16.125180560117215,16.244577407836914,37703793,0.0,0.0
2012-11-27,16.09201658336602,16.218046229025695,16.065484096568817,16.08538246154785,32539826,0.0,0.0
2012-11-28,16.072118710832136,16.377243010410755,16.019052397717093,16.363977432250977,31162248,0.0,0.0
2012-11-29,16.390511161209368,16.536440532951264,16.390511161209368,16.483375549316406,33352881,0.0,0.0
2012-11-30,16.523171416998245,16.63593549230474,16.397141764297984,16.59613609313965,39200895,0.0,0.0
2012-12-03,16.60940711776357,16.781869001040338,16.5828746229127,16.6425724029541,29809333,0.0,0.0
2012-12-04,16.609402682703337,16.76196482073159,16.59613577207433,16.695632934570312,31957385,0.0,0.0
2012-12-05,16.675729145286724,17.106884299347023,16.675729145286724,17.007387161254883,47992731,0.0,0.0
2012-12-06,16.947693542823245,17.100255680619583,16.927793843655927,16.987491607666016,33158418,0.0,0.0
2012-12-07,16.934426930121283,16.987491906506396,16.68900041422121,16.954326629638672,32428840,0.0,0.0
2012-12-10,16.86146009482819,16.98085694314989,16.821660700890384,16.854825973510742,28340795,0.0,0.0
2012-12-11,16.93442250442121,17.100251512405293,16.92778971747948,17.007387161254883,32344941,0.0,0.0
2012-12-12,16.99412058783294,17.08035215373616,16.874723753077784,16.92115592956543,31448725,0.0,0.0
2012-12-13,16.86809350839034,17.01402284692005,16.801761627197266,16.801761627197266,27886837,0.0,0.0
2012-12-14,16.728796695156753,16.82829384070643,16.682364516101348,16.70226287841797,27318415,0.0,0.0
2012-12-17,16.69563135712885,16.894625663319374,16.68236578124508,16.8216609954834,30144084,0.0,0.0
2012-12-18,16.815025672012336,17.047186549888355,16.7619607094954,17.007387161254883,34869904,0.0,0.0
2012-12-19,17.00076174177272,17.106891712799133,16.79513325604389,16.815032958984375,30866706,0.0,0.0
2012-12-20,16.795132619609085,16.874730094862628,16.7487004256715,16.86809730529785,27061450,0.0,0.0
2012-12-21,16.841558077212017,16.92778964103126,16.61603132078778,16.63593101501465,65008507,0.0,0.0
2012-12-24,16.58949883964914,16.722161245342352,16.582866052737362,16.63593101501465,11437376,0.0,0.0
2012-12-26,16.61603388411505,16.801761280737402,16.609401096180047,16.742063522338867,23038332,0.0,0.0
2012-12-27,16.695633265876637,16.728799876361368,16.456839537750938,16.67573356628418,26014512,0.0,0.0
